panel,figure,source_data,figure_files,notebook,n_rows,caption,written_utc
Fig2d,Fig2,Fig2d_cells_per_spheroid_per_z_slice_and_in_total_dmso_wells_both_cell_lines.csv,Fig2d.pdf,analysis/3_Figure2/CellCoverage/3_CellCoverage.ipynb,1470,"Cells per spheroid per z-slice and in total, DMSO wells, both cell lines",2026-08-14T12:18:38Z
Fig2e,Fig2,Fig2e_detections_per_cell_through_the_z_stack_by_cell_line.csv,Fig2e.pdf,analysis/3_Figure2/CellDetectionSanityCheck/3_DuplicateDetections.ipynb,126,"Detections per cell through the z-stack, by cell line",2026-08-14T13:34:15Z
Fig2f,Fig2,Fig2f_detected_cell_centroids_through_a_spheroid_hct116.csv,Fig2f.pdf,analysis/3_Figure2/CellDetectionSanityCheck/3_Plot_Spheroids.ipynb,1813,"Detected cell centroids through a spheroid, HCT116",2026-08-14T11:56:26Z
Fig2g_after,Fig2,Fig2g_after_pca_after_batch_stratification_hct116.csv,Fig2g_after.pdf,analysis/3_Figure2/RemoveNoise/5_PCA_RemoveNoise_BatchStratified.ipynb,348,"PCA after batch stratification, HCT116",2026-08-14T14:46:15Z
Fig2g_before,Fig2,Fig2g_before_pca_before_batch_stratification_hct116.csv,Fig2g_before.pdf,analysis/3_Figure2/RemoveNoise/5_PCA_RemoveNoise_BatchStratified.ipynb,348,"PCA before batch stratification, HCT116",2026-08-14T14:46:14Z
Fig3c,Fig3,Fig3c_grit_scores_per_compound_mip.csv,Fig3c.pdf,analysis/3_Figure3/3_GritScores_Fig3cd.ipynb,199,"Grit scores per compound, MIP",2026-08-14T13:59:34Z
Fig3d,Fig3,Fig3d_grit_scores_per_compound_scagg.csv,Fig3d.pdf,analysis/3_Figure3/3_GritScores_Fig3cd.ipynb,225,"Grit scores per compound, scAgg",2026-08-14T13:59:36Z
Fig3e,Fig3,Fig3e_median_pairwise_pearson_correlation_by_concentration_step_replicate_vs_null_mip.csv,Fig3e.pdf,analysis/3_Figure3/3_PercentReplicating.ipynb,2059,"Median pairwise Pearson correlation by concentration step, replicate vs null, MIP",2026-08-14T13:59:56Z
Fig3f,Fig3,Fig3f_median_pairwise_pearson_correlation_by_concentration_step_replicate_vs_null_aggregates.csv,Fig3f.pdf,analysis/3_Figure3/3_PercentReplicating.ipynb,2059,"Median pairwise Pearson correlation by concentration step, replicate vs null, aggregates",2026-08-14T14:00:17Z
Fig3g,Fig3,Fig3g_replicate_correlation_mip_vs_aggregates_coloured_by_concentration_step.csv,Fig3g.pdf,analysis/3_Figure3/3_Fig3gh_MIP_vs_Aggregates.ipynb,395,"Replicate correlation, MIP vs aggregates, coloured by concentration step",2026-08-14T14:50:08Z
Fig3h,Fig3,Fig3h_replicate_correlation_mip_vs_aggregates_coloured_by_pathway.csv,Fig3h.pdf,analysis/3_Figure3/3_Fig3gh_MIP_vs_Aggregates.ipynb,395,"Replicate correlation, MIP vs aggregates, coloured by pathway",2026-08-14T14:50:09Z
Fig4a,Fig4,Fig4a_supervised_umap_coloured_by_pathway_hct116_mip.csv,Fig4a.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,677,"Supervised UMAP coloured by pathway, HCT116 MIP",2026-08-14T15:42:33Z
Fig4b,Fig4,Fig4b_supervised_umap_coloured_by_pathway_hct116_aggregates.csv,Fig4b.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,747,"Supervised UMAP coloured by pathway, HCT116 aggregates",2026-08-14T15:43:25Z
Fig4c,Fig4,Fig4c_unsupervised_umap_kmeans_clusters_vs_pathway_hct116_mip.csv,Fig4c.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,252,"Unsupervised UMAP, KMeans clusters vs pathway, HCT116 MIP",2026-08-14T15:42:40Z
Fig4d,Fig4,Fig4d_unsupervised_umap_kmeans_clusters_vs_pathway_hct116_aggregates.csv,Fig4d.pdf,analysis/3_Figure4/PCAUMAP_pathway_v2.ipynb,326,"Unsupervised UMAP, KMeans clusters vs pathway, HCT116 aggregates",2026-08-14T15:43:32Z
